Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","One that gets the player to experience aspects of the game that they may not casually, rather than arbitrary goals that just want you to play perfect or have great rng. Challenges should specifically encourage unique play-styles rather than just skill",https://retroachievements.org/game/2259,"It's not, but it's the best I've played so far. I don't really have one I feel hits the sweet spot for me",Like,Like,Dislike,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,"Across all of these categories, I think there can be good and bad achievemtns, in my opinion if an achievement shouldn't take a long time compared to beating the game itself, and challenge achievements that are just ""get good"" or rng aren't fun but ones that encourage an unusual way to play are great.",I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",2,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try",A set that doesn't force the player to grind a lot and help them enjoy the game that will also give them a reward by the end of the game ,https://retroachievements.org/game/21111 https://retroachievements.org/game/5613,,Love,Neutral,Hate/Avoid,Hate/Avoid,Hate/Avoid,Hate/Avoid,Hate/Avoid,Like,Dislike,Hate/Avoid,Hate/Avoid,No,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A good set is challenging but not exhausting and helps the player experience a game in ways they might not have before ,https://retroachievements.org/game/4325,"A good mix of relatively easy challenges and hard ones, with the more difficult challenges testing the player's skill in a way that is engaging and compelling. ",Love,Love,Neutral,Neutral,Like,Like,Neutral,Love,Love,Neutral,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Agree,Neutral,Agree,Strongly Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Fun and challenges possible for the persistent ,https://retroachievements.org/game/3732,Many achievements linked to game progression,Love,Like,Neutral,Like,Hate/Avoid,Neutral,Like,Like,Like,Like,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Should reasonably cover the entire game as the devs intended + common knowledge that's popular in the fandom
Unique ideas from the dev are always welcome, so long as they aren't top difficult to execute.

Should avoid straying into speedrun territory, playing perfectly, or tons of grind
Subsets are good for that stuff 

A good set can breathe new life into a game.
A bad one can suck the fun out of a great game.
",https://retroachievements.org/game/14549,"Sonic R is very simple, short game. I played it on the Saturn when it came out and thought it was fun, but was disappointed by its length 
It would have been easy to just make achievements for getting 1st, unlocking each character, and getting all the emeralds on each difficulty.
You could probably master it in about 2 hours

In addition to all that, the dev also added challenges with characters that ordinarily aren't ""viable""
They might be fun to pay as, but suffer clear disadvantages.
The extra achievements give reason to play as egg robo or Amy 

Plus, there are achievements for the extra modes.

The dev also capitalizes on the games shortness by having no save achievements that make sense.

Overall, the set makes Sonic R a far better game than when it was initially released",Love,Love,Hate/Avoid,Neutral,Like,Like,Like,Love,Like,Like,Like,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Some creative achievements that will lead you to do things you normally wouldn't, and less achievements too much rng dependent.",https://retroachievements.org/game/1471,"It's pretty fun to complete alongside the guide even when the game is rng dependant, not overcomplicated and have some silly ones too.",Love,Love,Like,Neutral,Like,Like,Like,Love,Like,Neutral,Dislike,"Silly ones, to do something dumb like enrage someone or get killed in a strange way.","I like one achievement per stage, even when there might be a lot of stages","further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",1,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","No missable achievements, not an overwhelming number of achievements, achievements are logical progression or natural feeling achievements rather than a random challenge just to be challenging.",https://retroachievements.org/game/25463,"32 achievements, many from normal progression. Achievements not from progression aren't impossibly difficult.",Love,Like,Dislike,Hate/Avoid,Hate/Avoid,Dislike,Dislike,Neutral,Dislike,Dislike,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Agree,Agree,Strongly Agree,Neutral,Neutral
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try",,https://retroachievements.org/game/2221,"this set is challenging but not particularly hard, let you know all the easter eggs, and has some plot challenges (e.g. Defeat both forms of Death using Alucard alone)",Neutral,Neutral,Hate/Avoid,Dislike,Neutral,Like,Like,Love,Like,Neutral,Neutral,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Agree,Neutral,Neutral,Strongly Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",good achviments that don't really push the player into doing insane things for a master,https://retroachievements.org/game/19010,Decent achviments that are tied to progression with a couple of hard one's that take some practice,Love,Love,Neutral,Dislike,Dislike,Neutral,Neutral,Like,Like,Dislike,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",4,Neutral,Neutral,Agree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",,https://retroachievements.org/game/11244,"Covered the entire game, or atleast most of it, while adding some fun challenges you wouldn't tipically do",Neutral,Like,Neutral,Neutral,Neutral,Like,Neutral,Love,Love,Neutral,Dislike,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Neutral,Neutral,Agree,Disagree,Agree
